année,tokens,indice-5,indice-10,indice-15,indice-20,moyenne,indice-pondéré-5,Indice-pondéré-10,Indice-pondéré-15,Indice-pondéré-20,Indice-pondéré-moyen (moyenne/tokens*1000)
1910,322884,10500,20138,28546,35952,23784,"0,0325","0,0624","0,0884","0,1113","73,7"
1911,439612,17885,34589,49013,62127,"40903,5","0,0407","0,0787","0,1115","0,1413",93
1912,444300,20862,40934,58292,73063,"48287,75","0,047","0,0921","0,1312","0,1644","108,7"
1913,524285,25881,50669,72515,92558,"60405,75","0,0494","0,0966","0,1383","0,1765","115,2"
1914,657280,24682,48122,68477,85769,"56762,5","0,0376","0,0732","0,1042","0,1305","86,4"
1915,562569,20432,40375,57362,72169,"47584,5","0,0363","0,0718","0,102","0,1283","84,6"
1916,530990,17623,34534,48938,60377,40368,"0,0332","0,065","0,0922","0,1137",76
1917,574076,22131,45105,62902,81296,"52858,5","0,0386","0,0786","0,1096","0,1416","92,1"
1918,630667,31188,63046,90386,114412,74758,"0,0495","0,1","0,1433","0,1814","118,5"
1919,581676,31679,64521,92853,118255,76827,"0,0545","0,1109","0,1596","0,2033","132,1"
1920,453858,19391,39508,57487,72183,"47142,25","0,0427","0,087","0,1267","0,159","103,9"
1921,528195,25734,52645,77679,97416,"63368,5","0,0487","0,0997","0,1471","0,1844",120
1922,530508,25584,51816,72689,93258,"60836,75","0,0482","0,0977","0,137","0,1758","114,7"
1923,501740,23100,47426,68508,87988,"56755,5","0,046","0,0945","0,1365","0,1754","113,1"
1924,555224,28132,57085,81744,103404,"67591,25","0,0507","0,1028","0,1472","0,1862","121,7"
1925,708168,32567,65763,93467,118732,"77632,25","0,046","0,0929","0,132","0,1677","109,6"
1926,1165449,43025,88203,130188,168412,107457,"0,0369","0,0757","0,1117","0,1445","92,2"
1927,1131935,46381,96512,143220,185533,"117911,5","0,041","0,0853","0,1265","0,1639","104,2"
1928,1120394,42719,89519,131610,171030,"108719,5","0,0381","0,0799","0,1175","0,1527",97
1929,1108088,53648,114726,170024,223248,"140411,5","0,0484","0,1035","0,1534","0,2015","126,7"
1930,1157075,62652,131338,194095,251142,"159806,75","0,0541","0,1135","0,1677","0,217","138,1"
1931,1124347,67257,144966,217603,287624,"179362,5","0,0598","0,1289","0,1935","0,2558","159,5"
1932,1026744,58287,123755,186321,243972,"153083,75","0,0568","0,1205","0,1815","0,2376","149,1"
1933,1008336,56371,120593,181600,238286,"149212,5","0,0559","0,1196","0,1801","0,2363",148
1934,1141780,61329,130164,193860,255408,"160190,25","0,0537","0,114","0,1698","0,2237","140,3"
1935,1236402,71198,149470,221117,290443,183057,"0,0576","0,1209","0,1788","0,2349","148,1"
1936,1315598,75970,159695,237170,312739,"196393,5","0,0577","0,1214","0,1803","0,2377","149,3"
1937,1374804,95218,202756,302843,401762,"250644,75","0,0693","0,1475","0,2203","0,2922","182,3"
1938,1571365,120451,261929,403451,536964,"330698,75","0,0767","0,1667","0,2568","0,3417","210,5"
1939,1458825,102026,223504,340555,455462,"280386,75","0,0699","0,1532","0,2334","0,3122","192,2"
1940,1365081,90495,200722,310047,416319,"254395,75","0,0663","0,147","0,2271","0,305","186,4"
1941,1350759,87208,185835,281489,372233,"231691,25","0,0646","0,1376","0,2084","0,2756","171,5"
1942,1376568,83921,179113,268399,355375,221702,"0,061","0,1301","0,195","0,2582","161,1"
1943,1188185,72409,156901,235164,309620,"193523,5","0,0609","0,1321","0,1979","0,2606","162,9"
1944,1209281,85761,181038,269558,352920,"222319,25","0,0709","0,1497","0,2229","0,2918","183,8"
1945,1226340,78282,168531,251875,334429,"208279,25","0,0638","0,1374","0,2054","0,2727","169,8"
1946,1331459,108330,237570,360772,483115,"297446,75","0,0814","0,1784","0,271","0,3628","223,4"
1947,1461667,95115,203487,308807,409461,"254217,5","0,0651","0,1392","0,2113","0,2801","173,9"
1948,1347938,82942,170861,251512,327041,208089,"0,0615","0,1268","0,1866","0,2426","154,4"
1949,1271742,75175,157912,234609,306788,193621,"0,0591","0,1242","0,1845","0,2412","152,2"
1950,1148179,63398,130606,191726,250591,"159080,25","0,0552","0,1138","0,167","0,2183","138,6"
1951,1028653,50288,102252,149154,194338,124008,"0,0489","0,0994","0,145","0,1889","120,6"
1952,1046711,52101,105809,155019,203026,"128988,75","0,0498","0,1011","0,1481","0,194","123,2"
1953,992892,48397,100116,147545,192631,"122172,25","0,0487","0,1008","0,1486","0,194",123
1954,1208964,37542,76208,111904,144726,92595,"0,0311","0,063","0,0926","0,1197","76,6"
1955,1242801,62507,129356,192008,248923,"158198,5","0,0503","0,1041","0,1545","0,2003","127,3"
1956,1339432,84398,177817,268111,356054,221595,"0,063","0,1328","0,2002","0,2658","165,4"
1957,1548307,106308,226839,336997,440690,"277708,5","0,0687","0,1465","0,2177","0,2846","179,4"
1958,1503350,94757,197562,296073,390853,"244811,25","0,063","0,1314","0,1969","0,26","162,8"
1959,1478674,77833,159993,237403,312636,"196966,25","0,0526","0,1082","0,1606","0,2114","133,2"
1960,1452736,88240,184057,270611,353687,"224148,75","0,0607","0,1267","0,1863","0,2435","154,3"
1961,1432417,90662,185554,271453,351937,"224901,5","0,0633","0,1295","0,1895","0,2457",157
