année,mois,jour,tokens,indice-5,indice-10,indice-15,indice-20
1910,1,15,5451,151,269,345,393
1910,1,22,7434,263,463,575,670
1910,1,29,4929,110,189,350,435
1910,2,5,4851,161,433,581,761
1910,2,12,3615,133,186,231,281
1910,2,19,4948,126,305,409,458
1910,2,26,3571,95,179,308,349
1910,3,5,4829,168,271,394,467
1910,3,12,3453,106,219,343,382
1910,3,19,5153,106,184,278,308
1910,3,26,4888,140,243,301,397
1910,4,2,7221,166,280,465,583
1910,4,9,9186,282,487,690,792
1910,4,16,6288,132,269,352,454
1910,4,23,6220,186,406,505,655
1910,4,30,4254,146,276,431,470
1910,5,7,7651,213,296,494,558
1910,5,14,4800,104,260,272,467
1910,5,21,6417,249,441,599,818
1910,5,28,10615,307,580,913,1195
1910,6,4,8591,338,588,796,1021
1910,6,11,8518,413,812,1185,1450
1910,6,18,3853,49,103,160,157
1910,6,25,8939,400,742,1049,1426
1910,7,2,5001,205,395,461,617
1910,7,9,8143,269,576,835,1123
1910,7,16,5804,206,361,504,634
1910,7,23,3552,296,577,896,1089
1910,7,30,4548,196,479,617,760
1910,8,6,9447,265,518,668,851
1910,8,13,6304,243,423,587,809
1910,8,20,7000,229,385,563,669
1910,8,27,6317,156,286,357,559
1910,9,3,7259,226,502,784,932
1910,9,10,6250,220,436,602,694
1910,9,17,6171,179,380,558,724
1910,9,24,7370,263,448,562,709
1910,10,1,6613,210,459,675,864
1910,10,8,6567,154,281,400,444
1910,10,15,8527,218,405,578,733
1910,10,22,3838,108,207,277,352
1910,10,29,9233,176,356,618,756
1910,11,5,6719,284,476,686,813
1910,11,12,5683,156,408,650,945
1910,11,19,5105,382,780,1114,1507
1910,11,26,3531,25,78,113,157
1910,12,3,5800,119,251,399,427
1910,12,10,10007,376,636,980,1218
1910,12,17,12403,356,658,966,1179
1910,12,24,4965,173,305,370,452
1910,12,31,5052,266,591,700,988
1911,1,7,2934,130,258,349,513
1911,1,14,8675,160,387,532,692
1911,1,21,8239,483,863,1178,1495
1911,1,28,9586,548,1184,1626,2105
1911,2,4,11070,417,784,1018,1256
1911,2,11,5637,421,910,1277,1624
1911,2,18,8686,339,649,873,1094
1911,2,25,8261,241,437,687,814
1911,3,4,7295,441,685,953,1279
1911,3,11,5117,147,286,464,575
1911,3,18,6569,450,863,1321,1693
1911,3,25,8845,239,421,611,657
1911,4,1,11937,891,1826,2719,3560
1911,4,8,7893,94,212,258,346
1911,4,15,9621,480,799,1115,1380
1911,4,22,7578,241,395,580,745
1911,4,29,11167,405,722,925,1315
1911,5,6,10816,512,1025,1560,1964
1911,5,13,7761,367,648,943,1157
1911,5,20,7600,207,479,606,766
1911,5,27,6603,289,526,681,944
1911,6,3,9561,406,778,1183,1319
1911,6,10,5382,118,244,415,508
1911,6,17,8174,128,284,323,482
1911,6,24,10872,385,675,827,1096
1911,7,1,8819,270,504,714,916
1911,7,8,6316,373,644,1019,1252
1911,7,15,8593,397,856,1219,1618
1911,7,22,10459,236,481,782,915
1911,7,29,7482,360,599,757,1004
1911,8,5,8249,257,501,679,889
1911,8,12,5561,231,497,638,767
1911,8,19,9996,354,580,757,1036
1911,8,26,8867,425,766,1030,1424
1911,9,2,8877,143,298,393,523
1911,9,9,5439,185,312,487,475
1911,9,16,7698,215,480,662,781
1911,9,23,10188,398,901,1199,1531
1911,9,30,6293,394,852,1241,1718
1911,10,7,9765,423,856,1212,1545
1911,10,14,8712,527,1025,1535,2044
1911,10,21,9430,242,428,560,748
1911,10,28,9430,460,788,1054,1291
1911,11,4,9627,434,986,1276,1525
1911,11,11,10519,243,509,772,992
1911,11,18,7398,335,591,970,1221
1911,11,25,9284,326,599,924,1182
1911,12,2,8686,349,729,986,1293
1911,12,9,7375,558,1109,1679,2086
1911,12,16,8964,320,755,1168,1355
1911,12,23,13180,515,948,1289,1556
1911,12,30,8526,376,655,987,1061
1912,1,13,10877,304,625,1008,1346
1912,1,20,7753,276,525,774,1033
1912,1,27,7637,365,722,964,1237
1912,2,3,7852,515,1168,1762,2185
1912,2,10,5819,160,305,534,592
1912,2,17,8760,460,966,1568,2384
1912,2,24,12659,471,1069,1462,1769
1912,3,2,7573,536,974,1415,1751
1912,3,9,5858,349,719,1008,1455
1912,3,16,7352,450,829,1194,1507
1912,3,23,9783,448,795,1240,1553
1912,3,30,7378,229,637,762,858
1912,4,6,9565,377,678,989,1240
1912,4,13,6080,397,704,1055,1321
1912,4,20,9642,383,689,956,1143
1912,4,27,9991,465,888,1101,1501
1912,5,4,15420,622,1190,1506,1976
1912,5,11,11090,490,942,1357,1676
1912,5,18,10376,362,809,1061,1434
1912,5,25,9133,511,1125,1607,1967
1912,6,1,7530,484,948,1153,1484
1912,6,8,6125,342,694,1049,1177
1912,6,15,10535,521,1097,1535,1738
1912,6,22,6507,207,309,493,561
1912,6,29,16282,887,1547,2160,2661
1912,7,6,11926,550,889,1332,1623
1912,7,13,7283,195,423,631,772
1912,7,20,6746,129,294,484,626
1912,7,27,6099,233,490,594,787
1912,8,3,5187,186,380,541,637
1912,8,10,6522,429,886,1255,1520
1912,8,17,9924,463,887,1227,1600
1912,8,24,7047,369,789,998,1311
1912,8,31,9188,390,767,1078,1289
1912,9,7,11217,365,669,938,1046
1912,9,14,8336,360,606,849,1083
1912,9,21,6756,453,919,1393,1741
1912,9,28,5897,333,674,968,1162
1912,10,5,6034,246,380,515,701
1912,10,12,8885,444,892,1371,1640
1912,10,19,10088,549,1009,1553,1890
1912,10,26,9422,503,1165,1912,2404
1912,11,2,11449,445,929,1276,1534
1912,11,9,13040,583,1127,1636,2292
1912,11,16,6436,353,758,872,1184
1912,11,23,8343,466,793,1170,1350
1912,11,30,7867,495,936,1243,1489
1912,12,7,8946,555,1038,1489,1674
1912,12,14,5210,178,365,508,548
1912,12,21,11374,429,851,1192,1700
1912,12,28,7501,550,1064,1554,1911
1913,1,4,10438,387,822,1335,1668
1913,1,11,8989,378,689,975,1278
1913,1,18,6689,470,682,1047,1288
1913,1,25,7313,435,755,1048,1387
1913,2,1,9028,689,1496,2012,2782
1913,2,8,8921,329,565,925,1054
1913,2,15,6590,431,752,1088,1345
1913,2,22,4519,184,303,419,445
1913,3,1,9199,588,1145,1768,2296
1913,3,8,12792,726,1465,1810,2367
1913,3,15,12702,528,1302,1772,2215
1913,3,22,12415,472,966,1359,1876
1913,3,29,10262,708,1392,2028,2535
1913,4,5,15839,566,1169,1680,2112
1913,4,12,9068,396,673,928,1089
1913,4,19,7431,648,1183,1591,2165
1913,4,26,10284,558,1088,1516,2156
1913,5,3,9249,599,1177,1667,2225
1913,5,10,8300,548,1025,1645,2261
1913,5,17,9150,581,1005,1495,1800
1913,5,24,8225,350,901,1351,1658
1913,5,31,9921,514,772,1167,1334
1913,6,7,8423,491,1038,1524,2057
1913,6,14,13628,461,892,1389,1542
1913,6,21,9704,609,1300,1685,2013
1913,6,28,4990,272,519,569,765
1913,7,5,6804,187,398,591,811
1913,7,12,10471,610,1254,1999,2487
1913,7,19,9406,308,672,913,1065
1913,7,26,8140,300,563,778,963
1913,8,2,5944,276,599,817,1080
1913,8,9,8864,472,852,1223,1508
1913,8,16,5990,289,512,786,940
1913,8,23,8966,606,1291,1955,2553
1913,8,30,11702,549,1148,1472,2032
1913,9,6,10545,379,717,1080,1478
1913,9,13,9671,388,823,1250,1751
1913,9,20,13270,588,1075,1524,1851
1913,9,27,8111,502,883,1286,1768
1913,10,4,17715,1035,2152,3045,3749
1913,10,11,14091,523,951,1303,1583
1913,10,18,15850,641,1217,1603,2141
1913,10,25,6901,344,698,1006,1366
1913,11,8,15126,511,1078,1548,2059
1913,11,15,11359,517,985,1357,1997
1913,11,22,12781,849,1505,2135,2532
1913,11,29,12808,507,1012,1443,1946
1913,12,6,11637,855,1699,2538,3026
1913,12,13,14072,694,1460,1997,2467
1913,12,20,15111,704,1356,2101,2387
1913,12,27,14881,329,693,972,1305
1914,1,3,3924,135,290,389,516
1914,1,10,14589,749,1561,2313,3054
1914,1,17,10762,319,539,836,1028
1914,1,24,15714,556,1162,1631,1969
1914,1,31,16222,426,902,1278,1591
1914,2,7,12845,666,1459,2178,2713
1914,2,14,12246,588,1087,1613,2103
1914,2,21,8054,234,381,564,846
1914,2,28,11033,608,1448,2238,2694
1914,3,7,18975,622,1190,1623,2060
1914,3,14,14706,463,1045,1616,2076
1914,3,21,10563,529,1108,1599,1971
1914,3,28,13953,503,934,1411,1769
1914,4,4,16574,979,1820,2463,2902
1914,4,11,11729,605,1222,1675,2294
1914,4,18,14695,862,1636,2561,3081
1914,4,25,12881,416,770,1120,1407
1914,5,2,13297,576,1090,1479,1855
1914,5,9,13084,777,1486,2172,2764
1914,5,16,10668,397,756,1041,1458
1914,5,23,14977,501,1126,1496,1909
1914,5,30,11461,366,645,881,1108
1914,6,6,15552,555,976,1564,1849
1914,6,13,10706,481,866,1091,1425
1914,6,20,12632,481,832,1251,1472
1914,6,27,13687,600,1223,1808,2170
1914,7,4,13087,595,1216,1671,2135
1914,7,11,11266,499,931,1390,1852
1914,7,18,15022,699,1351,1771,2273
1914,7,25,16312,865,1511,2052,2455
1914,8,1,10769,377,914,1183,1572
1914,8,8,11572,302,497,629,755
1914,8,15,9565,131,416,549,642
1914,8,22,9286,263,540,878,1010
1914,8,29,15180,472,886,1195,1527
1914,9,5,11882,321,553,821,1104
1914,9,12,9880,306,686,955,1259
1914,9,19,13220,438,791,1097,1339
1914,9,26,16058,419,800,1298,1520
1914,10,3,13128,384,759,1038,1277
1914,10,10,13075,322,634,815,1034
1914,10,17,15331,575,1048,1294,1652
1914,10,24,10649,281,527,770,907
1914,10,31,11869,279,532,823,957
1914,11,7,8837,364,674,987,1182
1914,11,14,13010,384,785,1120,1622
1914,11,21,12020,286,570,756,957
1914,11,28,14470,332,578,882,1014
1914,12,5,10556,508,880,1249,1496
1914,12,12,9705,228,494,617,839
1914,12,19,15986,672,1347,1684,2097
1914,12,26,10016,386,648,1062,1208
1915,1,2,5360,87,193,274,384
1915,1,9,13470,392,729,1009,1273
1915,1,16,7688,200,315,402,469
1915,1,23,15472,437,894,1333,1666
1915,1,30,11494,211,418,649,793
1915,2,6,9167,324,682,883,1129
1915,2,13,13028,424,810,1208,1467
1915,2,20,10143,377,822,1085,1396
1915,2,27,13131,428,838,1313,1623
1915,3,6,13163,435,876,1229,1571
1915,3,13,10716,409,802,1228,1584
1915,3,20,8073,438,875,1175,1384
1915,3,27,11961,412,837,1239,1584
1915,4,3,10756,684,1171,1817,2405
1915,4,10,9938,549,1240,1996,2472
1915,4,17,14197,481,1071,1376,1862
1915,4,24,14375,517,956,1299,1618
1915,5,1,12369,620,1212,1730,2249
1915,5,8,14287,545,1135,1723,2175
1915,5,15,9643,302,550,767,945
1915,5,22,10939,605,1147,1521,2072
1915,5,29,12390,579,1216,1662,2292
1915,6,5,13976,833,1472,2041,2547
1915,6,12,10254,331,676,978,1217
1915,6,19,10303,375,812,1147,1554
1915,6,26,11581,453,871,1196,1408
1915,7,3,13466,452,911,1350,1595
1915,7,10,14025,401,743,1064,1448
1915,7,17,10237,356,591,772,917
1915,7,24,9765,544,958,1318,1547
1915,7,31,8417,203,475,645,850
1915,8,7,8895,238,423,503,558
1915,8,14,12799,440,853,1204,1469
1915,8,21,13563,428,861,1196,1472
1915,8,28,8969,252,445,546,692
1915,9,4,6579,209,395,548,601
1915,9,11,7270,241,522,801,958
1915,9,18,8874,197,600,739,957
1915,9,25,9784,218,480,624,887
1915,10,2,8986,361,651,902,1074
1915,10,9,11564,356,705,979,1356
1915,10,16,10035,398,800,1168,1569
1915,10,23,12164,435,943,1302,1606
1915,10,30,11970,403,856,1250,1516
1915,11,6,11120,475,882,1388,1490
1915,11,13,9098,215,503,650,797
1915,11,20,11000,235,439,672,811
1915,11,27,12000,807,1569,2379,2942
1915,12,4,8867,293,572,902,1115
1915,12,11,12604,371,713,981,1223
1915,12,18,12644,456,865,1199,1580
1916,1,8,6689,156,325,437,480
1916,1,15,8809,335,549,844,980
1916,1,22,8131,232,536,771,953
1916,1,29,10494,252,506,716,813
1916,2,5,9740,393,731,1022,1219
1916,2,12,8097,231,413,685,850
1916,2,19,10330,362,803,1134,1480
1916,2,26,10492,198,572,689,842
1916,3,4,7940,290,567,823,1093
1916,3,11,7654,117,276,392,525
1916,3,18,7853,168,298,395,454
1916,3,25,11858,390,645,916,1060
1916,4,1,11545,267,572,808,948
1916,4,8,7722,299,610,889,1048
1916,4,15,10215,205,367,487,638
1916,4,22,11580,604,1006,1445,1744
1916,4,29,11958,422,874,1153,1440
1916,5,6,12735,439,964,1563,2006
1916,5,13,11056,404,701,944,1227
1916,5,20,7190,380,586,862,988
1916,5,27,14469,569,1054,1555,1814
1916,6,3,7440,425,818,1141,1414
1916,6,10,12257,345,726,990,1304
1916,6,17,9070,223,481,747,939
1916,6,24,9984,319,626,934,1012
1916,7,1,4879,122,273,375,432
1916,7,8,13031,308,604,838,1063
1916,7,15,8099,290,477,639,771
1916,7,22,12204,310,586,861,1034
1916,7,29,10774,276,636,1046,1075
1916,8,5,8882,366,586,758,918
1916,8,12,12596,397,795,1237,1394
1916,8,19,12750,571,1108,1522,1964
1916,8,26,10978,426,935,1330,1598
1916,9,2,12017,391,715,995,1115
1916,9,9,9062,353,667,816,1102
1916,9,16,14675,332,679,846,1076
1916,9,23,12606,367,789,1103,1444
1916,9,30,11549,328,715,1035,1338
1916,10,7,13273,478,1032,1431,1726
1916,10,14,12347,376,866,1219,1619
1916,10,21,6824,317,631,880,1127
1916,10,28,7977,347,577,779,1013
1916,11,4,10289,209,445,578,742
1916,11,11,11325,437,838,1080,1540
1916,11,18,11288,232,521,850,1022
1916,11,25,8114,190,417,570,710
1916,12,2,7654,737,1382,2071,2710
1916,12,9,11415,490,925,1249,1451
1916,12,16,13679,304,582,894,1085
1916,12,23,10429,472,854,1258,1608
1916,12,30,6966,172,293,336,429
1917,1,13,10442,452,862,1220,1521
1917,1,20,8239,236,477,720,934
1917,1,27,9338,349,654,924,1241
1917,2,3,9066,229,529,682,876
1917,2,10,10778,330,698,1108,1401
1917,2,17,8269,504,1080,1416,1799
1917,2,24,14279,661,1318,1708,2203
1917,3,3,7194,450,1011,1504,1997
1917,3,10,9443,439,781,1041,1230
1917,3,17,10928,586,1155,1528,2115
1917,3,24,11208,350,685,1040,1509
1917,3,31,9993,492,1092,1570,1992
1917,4,7,9438,289,524,762,902
1917,4,14,10669,392,836,1113,1458
1917,4,21,13328,536,1332,1726,2277
1917,4,28,10802,511,1054,1333,1826
1917,5,5,12674,412,1049,1514,1878
1917,5,12,14013,517,1216,1627,2144
1917,5,19,11970,344,684,934,1237
1917,5,26,8343,328,772,1157,1408
1917,6,2,14072,375,761,1176,1459
1917,6,9,12567,408,702,814,1080
1917,6,16,12948,424,826,1136,1478
1917,6,23,14186,504,1006,1233,1568
1917,6,30,15966,440,856,1269,1664
1917,7,7,13568,481,829,1241,1510
1917,7,14,13860,348,754,973,1219
1917,7,21,14111,420,890,1264,1457
1917,7,28,12002,305,598,853,1157
1917,8,4,10700,403,797,1124,1278
1917,8,11,12030,379,707,982,1173
1917,8,18,10949,245,521,787,920
1917,8,25,12213,286,605,931,1123
1917,9,1,8538,341,628,774,1116
1917,9,8,11098,261,422,650,769
1917,9,15,13011,495,947,1574,2171
1917,9,22,12374,421,865,1080,1600
1917,9,29,11407,329,751,975,1239
1917,10,6,9683,384,760,1015,1242
1917,10,13,10990,767,1486,2002,2640
1917,10,20,11149,616,1341,1864,2578
1917,10,27,8503,444,940,1362,1743
1917,11,3,13346,630,1290,1860,2332
1917,11,10,10280,426,817,1126,1455
1917,11,17,14948,849,1974,2806,4027
1917,11,24,7228,300,577,1015,1194
1917,12,1,16536,850,1512,2181,2687
1917,12,15,13068,454,816,1063,1265
1917,12,22,13184,670,1297,1803,2341
1917,12,29,9147,469,1021,1342,1863
1918,1,5,9310,542,1159,1689,2056
1918,1,12,13784,506,852,1101,1456
1918,1,19,11964,439,900,1293,1670
1918,1,26,9950,693,1219,1954,2553
1918,2,2,10371,922,1836,2422,3017
1918,2,9,11041,492,1141,1567,2048
1918,2,16,13465,624,1157,1632,2142
1918,2,23,11850,643,1453,1852,2709
1918,3,2,9520,549,963,1308,1740
1918,3,9,8538,223,571,919,1098
1918,3,16,9823,627,1183,1751,2276
1918,3,23,13037,335,710,1255,1414
1918,3,30,9875,280,562,955,1206
1918,4,6,10105,529,1092,1463,1966
1918,4,13,15800,877,1913,2603,3733
1918,4,20,11644,1250,2364,3451,4205
1918,4,27,14367,478,923,1410,1812
1918,5,4,14560,835,1681,2325,3091
1918,5,11,11228,643,1346,2175,2473
1918,5,18,13837,1084,2295,3313,3998
1918,5,25,13501,919,1897,2585,3405
1918,6,1,12602,662,1368,2045,2482
1918,6,8,8560,371,677,893,1063
1918,6,15,15116,501,928,1321,1349
1918,6,22,11779,434,865,1047,1467
1918,6,29,11168,346,833,1117,1570
1918,7,6,12390,382,819,1197,1482
1918,7,13,12906,282,605,912,1050
1918,7,20,11774,381,735,1225,1410
1918,7,27,8882,242,543,851,1025
1918,8,3,10207,473,938,1263,1479
1918,8,10,9485,291,515,833,980
1918,8,17,11104,420,814,1069,1373
1918,8,24,13254,469,1051,1344,1702
1918,8,31,9147,442,845,1105,1485
1918,9,7,10164,777,1511,1997,2607
1918,9,14,11938,434,858,1205,1364
1918,9,21,10723,1038,1929,2916,3789
1918,9,28,12282,664,1460,1973,2608
1918,10,5,10945,556,1106,1645,1890
1918,10,12,16081,518,1273,1698,2500
1918,10,19,11256,543,1172,1746,2330
1918,10,26,15621,691,1229,1971,2404
1918,11,2,14014,368,787,1074,1291
1918,11,9,15688,637,1351,1844,2298
1918,11,16,14538,859,1657,2382,2701
1918,11,23,12155,753,1524,2114,2629
1918,11,30,14235,842,1610,2401,3058
1918,12,7,11336,760,1491,2230,2889
1918,12,14,13584,826,1620,2321,3059
1918,12,21,16247,1115,2253,3271,4124
1918,12,28,13916,621,1462,2353,2886
1919,1,4,12750,762,1783,2494,3311
1919,1,11,11373,697,1364,1988,2461
1919,1,18,9834,637,1551,2216,3109
1919,1,25,9522,560,1232,2010,2386
1919,2,1,8292,509,1156,1635,2290
1919,2,8,14962,925,2130,3305,4304
1919,2,15,13454,902,1643,2328,2840
1919,2,22,8010,375,833,1217,1555
1919,3,1,12512,1137,2230,3326,4043
1919,3,8,13949,1067,2298,3266,4311
1919,3,15,8999,172,452,616,934
1919,3,22,18234,1022,2118,2834,3670
1919,3,29,10795,589,1105,1566,1957
1919,4,5,17132,1126,2308,3376,4377
1919,4,12,12521,836,1796,2612,3114
1919,4,19,11829,627,1125,1824,2079
1919,4,26,8035,381,773,1075,1306
1919,5,3,8850,514,928,1473,1940
1919,5,10,9554,403,814,1052,1453
1919,5,17,13230,876,1843,2553,3308
1919,5,24,13793,753,1550,1991,2562
1919,5,31,14460,739,1482,1965,2322
1919,6,7,15234,781,1513,2126,2820
1919,6,14,14395,414,789,1092,1302
1919,6,21,11767,381,810,1357,1598
1919,6,28,11544,409,750,899,1158
