code,datetime,date,api,annee,mois,jour,url,fichier,taille,cahier
1,1910-01-15 00:00,15 janvier 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2786846,1910,1,15,http://collections.banq.qc.ca/retrieve/6625725,jrn03/devoir/src/1910/01/15/5226335_1910-01-15.pdf,10545627,5
2,1910-01-22 00:00,22 janvier 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2786891,1910,1,22,http://collections.banq.qc.ca/retrieve/6625815,jrn03/devoir/src/1910/01/22/5226335_1910-01-22.pdf,10787614,5
3,1910-01-29 00:00,29 janvier 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2786905,1910,1,29,http://collections.banq.qc.ca/retrieve/6625843,jrn03/devoir/src/1910/01/29/5226335_1910-01-29.pdf,10820386,5
4,1910-02-05 00:00,5 février 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2786949,1910,2,5,http://collections.banq.qc.ca/retrieve/6625929,jrn03/devoir/src/1910/02/05/5226335_1910-02-05.pdf,10685482,5
5,1910-02-12 00:00,12 février 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2786971,1910,2,12,http://collections.banq.qc.ca/retrieve/6625975,jrn03/devoir/src/1910/02/12/5226335_1910-02-12.pdf,10388830,5
6,1910-02-19 00:00,19 février 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787011,1910,2,19,http://collections.banq.qc.ca/retrieve/6626055,jrn03/devoir/src/1910/02/19/5226335_1910-02-19.pdf,10257726,5
7,1910-02-26 00:00,26 février 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787044,1910,2,26,http://collections.banq.qc.ca/retrieve/6626121,jrn03/devoir/src/1910/02/26/5226335_1910-02-26.pdf,10022443,5
8,1910-03-05 00:00,5 mars 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787061,1910,3,5,http://collections.banq.qc.ca/retrieve/6626155,jrn03/devoir/src/1910/03/05/5226335_1910-03-05.pdf,9970651,5
9,1910-03-12 00:00,12 mars 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787094,1910,3,12,http://collections.banq.qc.ca/retrieve/6626220,jrn03/devoir/src/1910/03/12/5226335_1910-03-12.pdf,9996672,5
10,1910-03-19 00:00,19 mars 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787111,1910,3,19,http://collections.banq.qc.ca/retrieve/6626255,jrn03/devoir/src/1910/03/19/5226335_1910-03-19.pdf,9794383,5
11,1910-03-26 00:00,26 mars 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787141,1910,3,26,http://collections.banq.qc.ca/retrieve/6626315,jrn03/devoir/src/1910/03/26/5226335_1910-03-26.pdf,10206375,5
12,1910-04-02 00:00,2 avril 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787160,1910,4,2,http://collections.banq.qc.ca/retrieve/6626353,jrn03/devoir/src/1910/04/02/5226335_1910-04-02.pdf,9767162,5
13,1910-04-09 00:00,9 avril 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787184,1910,4,9,http://collections.banq.qc.ca/retrieve/6626401,jrn03/devoir/src/1910/04/09/5226335_1910-04-09.pdf,13714366,5
14,1910-04-16 00:00,16 avril 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787202,1910,4,16,http://collections.banq.qc.ca/retrieve/6626437,jrn03/devoir/src/1910/04/16/5226335_1910-04-16.pdf,13892938,5
15,1910-04-23 00:00,23 avril 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787221,1910,4,23,http://collections.banq.qc.ca/retrieve/6626475,jrn03/devoir/src/1910/04/23/5226335_1910-04-23.pdf,10311947,5
16,1910-04-30 00:00,30 avril 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787242,1910,4,30,http://collections.banq.qc.ca/retrieve/6626517,jrn03/devoir/src/1910/04/30/5226335_1910-04-30.pdf,10332145,5
17,1910-05-07 00:00,7 mai 1910,http://collections.banq.qc.ca/api/service-notice?handle=52327/2787263,1910,5,7,http://collections.banq.qc.ca/retrieve/6626559,jrn03/devoir/src/1910/05/07/5226335_1910-05-07.pdf,13370212,5
