mot,occurrences,longueur,type,cote
abandon,5,7,NOM,1
abonnement,16,10,NOM,2
abonner,13,7,VER:infi,1
abstraire,6,9,VER:pper,2
accent,11,6,NOM,2
accentuer,3,9,VER:pres,1
accès,18,5,NOM,1
accessible,10,10,ADJ,1
accessoire,10,10,ADJ,2
acclamer,4,8,VER:simp,3
accompagner,37,11,VER:simp,1
accomplir,6,9,VER:pres,1
accord,11,6,NOM,3
accueillant,2,11,ADJ,1
acoustique,5,10,ADJ,3
acquisition,9,11,NOM,1
action,39,6,NOM,3
activité,32,8,NOM,1
actuel,48,6,ADJ,2
acuité,2,6,NOM,1
adapter,10,7,VER:pper,3
adepte,3,6,NOM,1
admettre,10,8,VER:infi,1
admirer,8,7,VER:pres,2
admission,12,9,NOM,3
adopter,9,7,VER:infi,1
adroit,2,6,ADJ,1
adulte,25,6,ADJ,1
aérien,2,6,ADJ,1
afficher,25,8,VER:impf,3
agenda,7,6,NOM,3
agent,9,5,NOM,3
aïeux,3,5,NOM,1
aimer,101,5,VER:cond,3
ajouter,58,7,VER:futu,1
alimenter,6,9,VER:pres,1
aller,104,5,VER:infi,1
allumer,5,7,VER:simp,1
allusion,8,8,NOM,1
amalgame,3,8,NOM,1
amateur,30,7,NOM,2
ambiance,3,8,NOM,2
ambiguïté,3,9,NOM,1
ambitieux,13,9,NOM,2
ambition,3,8,NOM,1
âme,47,3,NOM,2
amitié,9,6,NOM,1
amorcer,7,7,VER:pper,2
amour,103,5,NOM,1
amusant,5,7,ADJ,1
angle,20,5,ADJ,3
anglophone,5,10,ADJ,2
angoisser,6,9,VER:ppre,1
anim,112,4,NOM,2
animation,7,9,NOM,2
animer,20,6,VER:pper,2
annonce,5,7,NOM,3
annoncer,28,8,VER:ppre,3
anonymat,2,8,NOM,1
antérieur,3,9,ADJ,2
apostrophe,2,10,NOM,2
apostropher,3,11,VER:pres,2
apparaître,28,10,VER:pper,2
apparence,8,9,NOM,1
apparition,12,10,NOM,2
appeler,58,7,VER:ppre,1
appesantir,2,10,VER:infi,1
applaudir,8,9,VER:pres,3
applaudissement,2,15,NOM,3
apprécier,16,9,VER:pper,1
apprivoiser,3,11,VER:pper,2
approcher,16,9,VER:ppre,1
approfondir,6,11,VER:pper,2
approximatif,2,12,ADJ,2
arbitraire,4,10,NOM,1
archaïque,3,9,ADJ,1
archéologique,3,13,ADJ,1
archétype,2,9,ADJ,3
architecture,6,12,NOM,2
architecturer,14,13,VER:pres,3
archives,19,8,NOM,2
arène,4,5,NOM,3
arrangement,4,11,NOM,2
artefact,2,8,NOM,3
articuler,10,9,VER:pper,1
artifice,4,8,NOM,2
artificiel,4,10,ADJ,2
artisan,7,7,NOM,2
assembler,8,9,VER:pper,2
assistant,5,9,NOM,2
assister,34,8,VER:impf,3
association,17,11,NOM,1
associer,10,8,VER:pper,1
assurance,6,9,NOM,1
atelier,42,7,NOM,3
atmosphère,13,10,NOM,2
attachant,6,9,ADJ,1
atteindre,31,9,VER:infi,3
attendre,56,8,VER:ppre,2
attentif,3,8,ADJ,1
attention,13,9,NOM,1
attitude,10,8,NOM,1
attrayant,2,9,ADJ,1
atypique,1,8,ADJ,2
audace,8,6,NOM,1
audacieux,5,9,ADJ,2
audience,1,8,NOM,3
auditoire,2,9,NOM,3
auditorium,8,10,NOM,3
austère,3,7,ADJ,1
authenticité,5,12,NOM,2
authentique,9,11,ADJ,2
authentiquer,3,12,VER:pper,3
autographe,5,10,ADJ,3
avance,9,6,NOM,1
aventurer,2,9,VER:pper,3
aventures,10,9,VER:pres,3
avertir,9,7,VER:pper,1
baby,10,4,NOM,2
bâcler,4,6,VER:pper,3
balcon,3,6,NOM,2
bande,11,5,NOM,3
bar,30,3,NOM,2
barbarie,1,8,NOM,2
bavardage,2,9,NOM,1
beau,149,4,ADJ,3
beauté,52,6,NOM,2
beautiful,3,9,NOM,2
bénéfice,3,8,NOM,1
bibliographier,1,14,VER:pres,2
bientôt,23,7,ADV,1
billet,55,6,NOM,3
bizarre,4,7,ADJ,2
blanc,,,ADJ,2
bleu,,,ADJ,2
